created_at,sentiment_label,category,full_text,tokenization
2022-11-22 22:33:46+00:00,1.0,neutral,presiden jokowi tinjau langsung lokasi gempacianjur,"['presiden', 'jokowi', 'tinjau', 'langsung', 'lokasi', 'gempacianjur']"
2022-11-22 22:34:41+00:00,-1.0,neutral,ahmadru xix kata siebong p anies habis ke ciamis kok malah ada gempa di cianjur  krn kadrun yaman tdk patut jd presiden pengusung khilafah yang pro hti amp  fpi   aneh kan,"['ahmadru', 'xix', 'siebong', 'p', 'anies', 'habis', 'ciamis', 'gempa', 'cianjur', 'krn', 'kadrun', 'yaman', 'tdk', 'patut', 'presiden', 'usung', 'khilafah', 'pro', 'hti', 'amp', 'fpi', 'aneh']"
2022-11-22 22:34:45+00:00,1.0,neutral,ada sejumlah hal harus diketahui  gempa di cianjur  semarak bola dunia  wajah baru tmii  memoar rudy salam,"['gempa', 'cianjur', 'semarak', 'bola', 'dunia', 'wajah', 'tmii', 'memoar', 'rudy', 'salam']"
2022-11-22 22:35:08+00:00,1.0,neutral,muhaimin iskandar terjunkan tim khusus bantu korban gempa bumi cianjur,"['muhaimin', 'iskandar', 'terjun', 'tim', 'khusus', 'bantu', 'korban', 'gempa', 'bumi', 'cianjur']"
2022-11-22 22:37:11+00:00,-1.0,neutral,tanyakanrl kalo orang yang yang terdampak gempa cianjur sih wajar kaget nder  trauma soalnya sampai an lebih korban jiwanya,"['tanyakanrl', 'kalo', 'orang', 'dampak', 'gempa', 'cianjur', 'sih', 'wajar', 'kaget', 'nder', 'trauma', 'an', 'korban', 'jiwa']"
2022-11-22 22:37:20+00:00,1.0,neutral,ketua fpks dpr instruksikan aleg pks potong gaji bantu korban gempa cianjur  lewat fpksdprri  jazulijuwaini,"['ketua', 'fpks', 'dpr', 'instruksi', 'aleg', 'pks', 'potong', 'gaji', 'bantu', 'korban', 'gempa', 'cianjur', 'fpksdprri', 'jazulijuwaini']"
2022-11-22 22:37:24+00:00,-1.0,neutral,saksi mata gempa cianjur duka korban cari keluarga hilang,"['saksi', 'mata', 'gempa', 'cianjur', 'duka', 'korban', 'cari', 'keluarga', 'hilang']"
2022-11-22 22:38:23+00:00,-1.0,neutral,antisipasi pencurian  polres cianjur patroli rumah kosong di lokasi gempa   sindonews bukanberitabiasa,"['antisipasi', 'curi', 'polres', 'cianjur', 'patroli', 'rumah', 'kosong', 'lokasi', 'gempa', 'sindonews', 'bukanberitabiasa']"
2022-11-22 22:38:34+00:00,1.0,electricity,perjuangan pln menyambung kabel yg terputus usai gempa bumi di cianjur  terbaru berita bumi cianjur,"['juang', 'pln', 'sambung', 'kabel', 'putus', 'gempa', 'bumi', 'cianjur', 'baru', 'berita', 'bumi', 'cianjur']"
2022-11-22 22:41:11+00:00,-1.0,neutral,infobmkg jam  pagi  gempa cugenang cianjur  ga ngerasa min sini mah goyang,"['infobmkg', 'jam', 'pagi', 'gempa', 'cugenang', 'cianjur', 'ngerasa', 'min', 'mah', 'goyang']"
2022-11-22 22:41:52+00:00,-1.0,neutral,gempa berkekuatan magnitudo   mengguncang kabupaten cianjur pada  november  sekitar pukul   wib  bangunan rumah  sekolah  tempat ibadah  mengal,"['gempa', 'kuat', 'magnitudo', 'guncang', 'kabupaten', 'cianjur', 'november', 'wib', 'bangun', 'rumah', 'sekolah', 'ibadah', 'mengal']"
2022-11-22 22:42:06+00:00,-1.0,neutral,data terbaru korban gempa cianjur  orang masih hilang   meninggal    warga mengungsi  berita betulan,"['data', 'baru', 'korban', 'gempa', 'cianjur', 'orang', 'hilang', 'tinggal', 'warga', 'ungsi', 'berita', 'betul']"
2022-11-22 22:42:06+00:00,1.0,water,mohon bantuan donasi kemanusiaan bapakibu untuk gempa cianjur,"['mohon', 'bantu', 'donasi', 'manusia', 'bapakibu', 'gempa', 'cianjur']"
2022-11-22 22:42:34+00:00,1.0,neutral,mari sejenak kita luangkan waktu untuk mendoakan para korban gempa bumi di cianjur dan sekitarnya  dan mari kita bantu dengan apa yang kita punya   gus yusufch,"['mari', 'luang', 'doa', 'korban', 'gempa', 'bumi', 'cianjur', 'mari', 'bantu', 'gus', 'yusufch']"
2022-11-22 22:42:45+00:00,1.0,neutral,ini yang ditetapkan pemkab cianjur pasca gempa selaam  hari kedepan,"['tetap', 'pemkab', 'cianjur', 'pasca', 'gempa', 'selaam', 'depan']"
2022-11-22 22:42:50+00:00,1.0,food,gempacianjurpemkotbandungkirimambulansdanbantuanpokoklainnya,['gempacianjurpemkotbandungkirimambulansdanbantuanpokoklainnya']
2022-11-22 22:43:03+00:00,-1.0,neutral,sahabatdaqu sejumlah bencana melanda beberapa wilayah pada  ini  salah satu yang baru terjadi yaitu gempa cianjur  sejatinya salah satu ikhtiar yang bisa kita lakukan untuk menghindarkan diri dari bencana adalah sedekah  klik,"['sahabatdaqu', 'bencana', 'landa', 'wilayah', 'salah', 'gempa', 'cianjur', 'sejati', 'salah', 'ikhtiar', 'laku', 'hindar', 'bencana', 'sedekah', 'klik']"
2022-11-22 22:43:41+00:00,-1.0,neutral,gak kuat bgt liat video bapak korban gempa cianjur gendong jenazah anaknya dengan muka linglung ya allah,"['gak', 'kuat', 'liat', 'video', 'korban', 'gempa', 'cianjur', 'gendong', 'jenazah', 'anak', 'muka', 'linglung', 'ya', 'allah']"
2022-11-22 22:43:42+00:00,1.0,neutral,lahirnya pas gempa jadi gempita  lahirnya pas sunami jadi sunamita  lahirnya pas banjir jadi banjirita  lahirnya pas gak ada duit jadi rungsingta  lahirnya pas nyanyi di kamar mandi jadi bunda rita      hatur nuhun pak gubernur ridwankamil yg sudah perhatian kepada warga cianjur,"['lahir', 'pas', 'gempa', 'gempita', 'lahir', 'pas', 'sunam', 'sunamita', 'lahir', 'pas', 'banjir', 'banjirita', 'lahir', 'pas', 'gak', 'duit', 'rungsingta', 'lahir', 'pas', 'nyanyi', 'kamar', 'mandi', 'bunda', 'rita', 'hatur', 'nuhun', 'gubernur', 'ridwankamil', 'perhati', 'warga', 'cianjur']"
