full_text,label
Presiden Jokowi Tinjau Langsung Lokasi Gempa Cianjur https://t.co/cQoX5MXe5y,1
"@ahmadru91949359 @xix0_3 Kata siebong,p.Anies habis ke ciamis,kok malah ada gempa di cianjur, krn kadrun yaman tdk patut jd presiden pengusung khilafah yang pro HTI &amp  FPI...aneh kan?🤔🤫🥺",-1
Ada sejumlah hal harus diketahui: - Gempa di Cianjur - Semarak Bola Dunia - Wajah Baru TMII - MEMOAR: Rudy Salam,1
Muhaimin Iskandar Terjunkan Tim Khusus Bantu Korban Gempa Bumi Cianjur https://t.co/QDugkc7vBs,1
"@tanyakanrl Kalo orang yang yang terdampak gempa cianjur sih wajar kaget nder, trauma soalnya sampai 200an lebih korban jiwanya.",-1
Ketua FPKS DPR Instruksikan Aleg PKS Potong Gaji Bantu Korban Gempa Cianjur https://t.co/VFt9GNEdzj lewat @FPKSDPRRI | @JazuliJuwaini,1
Saksi Mata Gempa Cianjur: Duka Korban Cari Keluarga Hilang https://t.co/5yH6FDktwn,1
"Antisipasi Pencurian, Polres Cianjur Patroli Rumah Kosong di Lokasi Gempa   #Sindonews #BukanBeritaBiasa .https://t.co/DkhEMYTo38",-1
Perjuangan PLN Menyambung Kabel yg Terputus Usai Gempa Bumi di Cianjur https://t.co/isRqO67UX3 #Terbaru #berita #bumi #cianjur https://t.co/TOga32fZ30,1
"@infoBMKG Jam 3 pagi, gempa cugenang cianjur, ga ngerasa min? Sini mah goyang",1
"Gempa berkekuatan magnitudo 5,6 mengguncang Kabupaten Cianjur pada 21 November 2022 sekitar pukul 13.21 WIB. Bangunan rumah, sekolah, tempat ibadah, mengal... https://t.co/EASp2E4kgi",-1
"Data Terbaru Korban Gempa Cianjur: 151 Orang Masih Hilang, 268 Meninggal, 58.362 Warga Mengungsi https://t.co/Falyeh9eBs Berita Betulan",1
Mohon BANTUAN DONASI KEMANUSIAAN Bapak/Ibu Untuk GEMPA CIANJUR https://t.co/IbjD45QuIN,1
"Mari sejenak kita luangkan waktu untuk mendoakan para korban gempa bumi di Cianjur dan sekitarnya, dan mari kita bantu dengan apa yang kita punya.  Gus @yusuf_ch https://t.co/5WKRIPOtk6",1
Ini yang Ditetapkan Pemkab Cianjur Pasca Gempa Selaam 30 hari ke Depan https://t.co/NTqIfZC1S4,1
gempa-cianjur-pemkot-bandung-kirim-ambulans-dan-bantuan-pokok-lainnya https://t.co/nNKAhTSP7z,1
SahabatDAQU… Sejumlah bencana melanda beberapa wilayah pada 2022 ini. Salah satu yang baru terjadi yaitu gempa Cianjur  Sejatinya salah satu ikhtiar yang bisa kita lakukan untuk menghindarkan diri dari bencana adalah sedekah  Klik https://t.co/VuZ1dsMseY https://t.co/zRTLW51prC,1
Gak kuat bgt liat video bapak2 korban gempa cianjur gendong jenazah anaknya dengan muka linglung ya Allah.,1
"Lahirnya pas Gempa jadi Gempita, Lahirnya pas Sunami jadi Sunamita, Lahirnya pas Banjir jadi Banjirita, Lahirnya pas gak ada duit jadi rungsingta, Lahirnya pas Nyanyi di kamar mandi jadi BUNDA RITA.  .. Hatur Nuhun pak Gubernur @ridwankamil yg sudah perhatian kepada warga Cianjur",1
"Masih trauma banget ngebekas karena gempa Cianjur kemarin 😭, ada goyang sedikit jadi parno banget , ditambah tetangga samping rumah roboh bagian halaman nyaa 🥲 https://t.co/K5ZZ0vaEs0",1
Data Terkini Jumlah Korban Gempa Cianjur https://t.co/bCdv5UOQtE,1
"26 Sekolah Rusak Akibat Gempa Cianjur, Disdik Jawa Barat Pastikan KBM Tetap Berjalan  https://t.co/jMMkaqmSPW",1
"Sejumlah lokasi bencana kehabisan stok kain kafan untuk pemulasaran jenazah korban gempa Cianjur, Jabar. Jenazah terpaksa didiamkan di halaman posko darurat. https://t.co/176AnVJZZw",-1
"Nasib 2 Ibu Hamil di Desa Benjot Nahas saat Gempa Bumi Cianjur, Indri Tertimbun Usai Jajan di Warung   https://t.co/IkwvhIDB3R lewat @tribunnews",-1
"@infoBMKG Yang di daerah pusat kota Cianjur belum tersentuh bantuan, info dari rekan sesama alumni organisasi kemahasiswaan kampus Yang juga terdampak gempa. 🙏 https://t.co/8n6miTf3Xl",-1
Jazuli Juwaini Instruksikan Anggota Fraksi PKS DPR Sisihkan Gaji Untuk Korban Gempa Cianjur https://t.co/HUw7NGJxbU,1
Putin menyampaikan belasungkawa kepada Presiden Jokowi terkait insiden gempa Cianjur. Dia berduka atas jatuhnya banyak korban jiwa akibat bencana itu. https://t.co/MNZ3GDt5ba,1
