full_text,label,joined_text
"['presiden', 'jokowi', 'tinjau', 'langsung', 'lokasi', 'gempacianjur']",1.0,presiden jokowi tinjau langsung lokasi gempacianjur
"['ahmadru', 'siebong', 'p', 'anies', 'habis', 'ciamis', 'gempa', 'cianjur', 'kadrun', 'yaman', 'patut', 'presiden', 'usung', 'khilafah', 'pro', 'hti', 'fpi', 'aneh']",-1.0,ahmadru siebong p anies habis ciamis gempa cianjur kadrun yaman patut presiden usung khilafah pro hti fpi aneh
"['gempa', 'cianjur', 'semarak', 'bola', 'dunia', 'wajah', 'tmii', 'memoar', 'rudy', 'salam']",1.0,gempa cianjur semarak bola dunia wajah tmii memoar rudy salam
"['muhaimin', 'iskandar', 'terjun', 'tim', 'khusus', 'bantu', 'korban', 'gempa', 'bumi', 'cianjur']",1.0,muhaimin iskandar terjun tim khusus bantu korban gempa bumi cianjur
"['tanyakanrl', 'orang', 'dampak', 'gempa', 'cianjur', 'wajar', 'kaget', 'nder', 'trauma', 'an', 'korban', 'jiwa']",-1.0,tanyakanrl orang dampak gempa cianjur wajar kaget nder trauma an korban jiwa
"['ketua', 'fpks', 'dpr', 'instruksi', 'aleg', 'pks', 'potong', 'gaji', 'bantu', 'korban', 'gempa', 'cianjur', 'fpksdprri', 'jazulijuwaini']",1.0,ketua fpks dpr instruksi aleg pks potong gaji bantu korban gempa cianjur fpksdprri jazulijuwaini
"['saksi', 'mata', 'gempa', 'cianjur', 'duka', 'korban', 'cari', 'keluarga', 'hilang']",1.0,saksi mata gempa cianjur duka korban cari keluarga hilang
"['antisipasi', 'curi', 'polres', 'cianjur', 'patroli', 'rumah', 'kosong', 'lokasi', 'gempa', 'sindonews', 'bukanberitabiasa']",-1.0,antisipasi curi polres cianjur patroli rumah kosong lokasi gempa sindonews bukanberitabiasa
"['juang', 'pln', 'sambung', 'kabel', 'putus', 'gempa', 'bumi', 'cianjur', 'baru', 'berita', 'bumi', 'cianjur']",1.0,juang pln sambung kabel putus gempa bumi cianjur baru berita bumi cianjur
"['infobmkg', 'jam', 'pagi', 'gempa', 'cugenang', 'cianjur', 'ngerasa', 'min', 'mah', 'goyang']",1.0,infobmkg jam pagi gempa cugenang cianjur ngerasa min mah goyang
"['gempa', 'kuat', 'magnitudo', 'guncang', 'kabupaten', 'cianjur', 'november', 'wib', 'bangun', 'rumah', 'sekolah', 'ibadah', 'mengal']",-1.0,gempa kuat magnitudo guncang kabupaten cianjur november wib bangun rumah sekolah ibadah mengal
"['data', 'baru', 'korban', 'gempa', 'cianjur', 'orang', 'hilang', 'tinggal', 'warga', 'ungsi', 'berita', 'betul']",1.0,data baru korban gempa cianjur orang hilang tinggal warga ungsi berita betul
"['mohon', 'bantu', 'donasi', 'manusia', 'bapakibu', 'gempa', 'cianjur']",1.0,mohon bantu donasi manusia bapakibu gempa cianjur
"['mari', 'luang', 'doa', 'korban', 'gempa', 'bumi', 'cianjur', 'mari', 'bantu', 'gus', 'yusufch']",1.0,mari luang doa korban gempa bumi cianjur mari bantu gus yusufch
"['tetap', 'pemkab', 'cianjur', 'pasca', 'gempa', 'selaam', 'depan']",1.0,tetap pemkab cianjur pasca gempa selaam depan
['gempacianjurpemkotbandungkirimambulansdanbantuanpokoklainnya'],1.0,gempacianjurpemkotbandungkirimambulansdanbantuanpokoklainnya
