full_text,label
"['presiden', 'jokowi', 'tinjau', 'langsung', 'lokasi', 'gempa', 'cianjur']",1.0
"['siebongpanies', 'habis', 'ciamiskok', 'gempa', 'cianjur', 'krn', 'kadrun', 'yaman', 'tdk', 'patut', 'jd', 'presiden', 'usung', 'khilafah', 'pro', 'hti', 'amp', 'fpianeh', 'kan']",-1.0
"['gempa', 'cianjur', 'semarak', 'bola', 'dunia', 'wajah', 'tmii', 'memoar', 'rudy', 'salam']",1.0
"['muhaimin', 'iskandar', 'terjun', 'tim', 'khusus', 'bantu', 'korban', 'gempa', 'bumi', 'cianjur']",1.0
"['kalo', 'orang', 'dampak', 'gempa', 'cianjur', 'sih', 'wajar', 'kaget', 'nder', 'trauma', 'an', 'korban', 'jiwa']",-1.0
"['ketua', 'fpks', 'dpr', 'instruksi', 'aleg', 'pks', 'potong', 'gaji', 'bantu', 'korban', 'gempa', 'cianjur']",1.0
"['saksi', 'mata', 'gempa', 'cianjur', 'duka', 'korban', 'cari', 'keluarga', 'hilang']",1.0
"['antisipasi', 'curi', 'polres', 'cianjur', 'patroli', 'rumah', 'kosong', 'lokasi', 'gempa', 'sindonews', 'bukanberitabiasa']",-1.0
"['juang', 'pln', 'sambung', 'kabel', 'yg', 'putus', 'gempa', 'bumi', 'cianjur', 'baru', 'berita', 'bumi', 'cianjur']",1.0
"['jam', 'pagi', 'gempa', 'cugenang', 'cianjur', 'ga', 'ngerasa', 'min', 'mah', 'goyang']",1.0
"['gempa', 'kuat', 'magnitudo', 'guncang', 'kabupaten', 'cianjur', 'november', 'wib', 'bangun', 'rumah', 'sekolah', 'ibadah', 'mengal']",-1.0
"['data', 'baru', 'korban', 'gempa', 'cianjur', 'orang', 'hilang', 'tinggal', 'warga', 'ungsi', 'berita', 'betul']",1.0
"['mohon', 'bantu', 'donasi', 'manusia', 'bapakibu', 'gempa', 'cianjur']",1.0
"['mari', 'luang', 'doa', 'korban', 'gempa', 'bumi', 'cianjur', 'mari', 'bantu', 'gus']",1.0
"['tetap', 'pemkab', 'cianjur', 'pasca', 'gempa', 'selaam']",1.0
['gempacianjurpemkotbandungkirimambulansdanbantuanpokoklainnya'],1.0
"['sahabatdaqu', 'bencana', 'landa', 'wilayah', 'salah', 'gempa', 'cianjur', 'sejati', 'salah', 'ikhtiar', 'laku', 'hindar', 'bencana', 'sedekah', 'klik']",1.0
"['gak', 'kuat', 'bgt', 'liat', 'video', 'korban', 'gempa', 'cianjur', 'gendong', 'jenazah', 'anak', 'muka', 'linglung', 'ya', 'allah']",1.0
"['lahir', 'pas', 'gempa', 'gempita', 'lahir', 'pas', 'sunam', 'sunamita', 'lahir', 'pas', 'banjir', 'banjirita', 'lahir', 'pas', 'gak', 'duit', 'rungsingta', 'lahir', 'pas', 'nyanyi', 'kamar', 'mandi', 'bunda', 'rita', 'hatur', 'nuhun', 'gubernur', 'yg', 'perhati', 'warga', 'cianjur']",1.0
"['trauma', 'banget', 'ngebekas', 'gempa', 'cianjur', 'kemarin', '', 'goyang', 'parno', 'banget', 'tambah', 'tetangga', 'samping', 'rumah', 'roboh', 'halaman', 'nyaa', '']",1.0
"['data', 'kini', 'korban', 'gempa', 'cianjur']",1.0
"['sekolah', 'rusak', 'akibat', 'gempa', 'cianjur', 'disdik', 'jawa', 'barat', 'pasti', 'kbm', 'jalan']",1.0
"['lokasi', 'bencana', 'habis', 'stok', 'kain', 'kafan', 'pemulasaran', 'jenazah', 'korban', 'gempa', 'cianjur', 'jabar', 'jenazah', 'paksa', 'diam', 'halaman', 'posko', 'darurat']",-1.0
"['nasib', 'hamil', 'desa', 'benjot', 'nahas', 'gempa', 'bumi', 'cianjur', 'indri', 'timbun', 'jajan', 'warung']",-1.0
"['daerah', 'pusat', 'kota', 'cianjur', 'sentuh', 'bantu', 'info', 'rekan', 'alumni', 'organisasi', 'mahasiswa', 'kampus', 'dampak', 'gempa', '']",-1.0
"['jazuli', 'juwaini', 'instruksi', 'anggota', 'fraksi', 'pks', 'dpr', 'sisih', 'gaji', 'korban', 'gempa', 'cianjur']",1.0
"['putin', 'belasungkawa', 'presiden', 'jokowi', 'kait', 'insiden', 'gempa', 'cianjur', 'duka', 'jatuh', 'korban', 'jiwa', 'akibat', 'bencana']",1.0
"['tulis', 'pray', 'for', 'cianjur', 'sebar', 'video', 'gempa', 'donggala']",-1.0
"['bsmi', 'peduli', 'cianjur', 'bsmi', 'diri', 'posko', 'peduli', 'gempa', 'cianjur', 'rumah', 'sakit', 'lapang', 'bantu', 'medis', 'korban', 'gempa', 'dukung', 'tim', 'rawan', 'bsmi', 'mari', 'bantu', 'warga', 'cianjur', 'salam', 'manusia', 'batas', 'care', 'for', 'life', 'selamat', 'jiwa', 'sambung', 'ribu']",1.0
"['presiden', 'mbz', 'kirim', 'bantu', 'makan', 'korban', 'gempa', 'cianjur']",1.0
"['gempa', 'cianjur', 'milik', 'daya', 'rusak']",1.0
"['gus', 'muhaimin', 'seru', 'kader', 'pkb', 'bantu', 'korban', 'gempa', 'cianjur', 'bagusmuhaiminsampang']",1.0
"['lokasi', 'bencana', 'habis', 'stok', 'kain', 'kafan', 'pemulasaran', 'jenazah', 'korban', 'gempa', 'cianjur', 'jabar', 'jenazah', 'paksa', 'diam', 'halaman', 'posko', 'darurat']",-1.0
"['barusan', 'baca', 'cianjur', 'kena', 'gempa', 'sampek', 'kali', 'rem', 'banget', 'mama', 'stay', 'safe', 'ya', 'moga', 'mama', 'keluarga', 'aja']",1.0
"['pvmbg', 'sebab', 'daya', 'rusak', 'gempa', 'cianjur', 'tempotekno']",1.0
"['pray', 'for', 'cianjur', 'duka', 'cita', 'musibah', 'gempa', 'cianjur', 'pandi', 'banggapakaiid', 'domainid', 'domainindonesia', 'prayforcianjur']",1.0
"['polri', 'korban', 'gempa', 'bumi', 'cianjur', 'persen', 'identifikasi']",1.0
"['jabat', 'utama', 'pju', 'mabes', 'polri', 'ketua', 'bhayangkari', 'serta', 'jajar', 'hadir', 'cianjur', 'tinjau', 'langsung', 'situasi', 'pasca', 'gempa', 'jenguk', 'korban', 'luka', 'awat', 'dukung', 'semangat']",1.0
"['gubernur', 'jawa', 'barat', 'masyarakat', 'lokasi', 'bencana', 'gempa', 'cianjur', 'jadi', 'lokasi', '', 'wisata', '', 'hmmm', 'biasa', 'warga', 'of', 'indonesia', 'like', 'wakanda', '']",1.0
"['baznas', 'bazis', 'kota', 'jakarta', 'selatan', 'buka', 'galang', 'dana', 'bantu', 'manusia', 'korban', 'bencana', 'gempa', 'cianjur', 'jawa', 'barat', 'november', 'galan', 'dana', 'buka', 'selasa', 'desember']",1.0
"['cepat', 'tanggap', 'hadir', 'aksi', 'nyata', 'demokrat', 'salur', 'bantu', 'gempa', 'cianjur']",1.0
"['perintah', 'skema', 'huni', 'sedia', 'korban', 'gempa', 'cianjur', 'gempacianjur', 'savecianjur']",1.0
"['salah', 'korban', 'gempa', 'cianjur', 'tweet', 'sakit', 'hati', 'sih']",-1.0
"['cianjur', 'duka', 'duka', 'indonesia', 'salur', 'aksi', 'manusia', 'tuk', 'korban', 'bencana', 'aksi', 'peduli', 'gempa', 'cianjur', 'salur', 'bantu', 'lengkap', 'bayi', 'obat', 'obat', 'via']",1.0
"['bangun', 'dapur', 'rawan', 'door', 'to', 'door', 'salur', 'bantu', 'korban', 'gempa', 'cianjur', 'baru', 'bangun', 'bantu', 'berita']",1.0
